date,Output,Heat Rate,Heat Consumption,Exhaust Temperature,Exhaust Flow
2022-06-22 18:00:00+00:00,89351.55448817856,11087.980457658623,955022099.7627798,1043.5914596804598,922598.8479188284
2022-06-22 19:00:00+00:00,89267.58485117542,11088.25492291237,954148031.8068866,1043.592810034253,921754.0356882473
2022-06-22 20:00:00+00:00,89211.60509317329,11088.437899748204,953565319.8362911,1043.593710270115,921190.8275345265
2022-06-22 21:00:00+00:00,89183.61521417224,12175.12242824712,953273963.8509933,1085.894160388046,799147.7185118861
2022-06-22 22:00:00+00:00,89202.2751335063,26593.842924096538,953468201.1745253,869.4938603094253,632625.7244006357
2022-06-22 23:00:00+00:00,89230.26501250734,26593.623504377905,953759557.1598231,869.4934101914943,632819.1350739409
2022-06-23 00:00:00+00:00,89258.25489150839,26593.404084659276,954050913.1451206,869.4929600735632,633012.5457472461
2022-06-23 01:00:00+00:00,89360.88444784559,26592.59954569098,955119218.4245456,869.4913096411494,633721.7182160317
2022-06-23 02:00:00+00:00,89426.19416551472,26592.087566347513,955799049.0569072,869.490259365977,634173.0097870771
2022-06-23 03:00:00+00:00,89463.51400418281,26591.795006722685,956187523.7039708,869.4896592087356,634430.8906848175
2022-06-23 04:00:00+00:00,89463.51400418281,26591.795006722685,956187523.7039708,869.4896592087356,634430.8906848175
2022-06-23 05:00:00+00:00,89398.20428651366,26592.306986066145,955507693.0716094,869.4907094839081,633979.5991137719
2022-06-23 06:00:00+00:00,89323.56460917753,20149.539879814376,954730743.7774822,973.7419097983908,631545.8128757472
2022-06-23 07:00:00+00:00,89267.58485117542,20149.872390197474,954148031.8068866,973.7428100342529,631160.1627606326
2022-06-23 08:00:00+00:00,89239.59497217435,20150.038645389028,953856675.8215889,973.7432601521839,630967.3377030754
2022-06-23 09:00:00+00:00,89295.57473017646,15298.779597558909,954439387.7921844,1101.0923599163218,662107.202726415
2022-06-23 10:00:00+00:00,89295.57473017646,15298.779597558909,954439387.7921844,1101.0923599163218,662107.202726415
2022-06-23 11:00:00+00:00,89379.54436717964,15298.400906944444,955313455.7480775,1101.0910095625286,662713.8563509556
2022-06-23 12:00:00+00:00,89416.8642058477,15298.232600004685,955701930.3951412,1101.0904094052873,662983.4801840847
2022-06-23 13:00:00+00:00,89444.85408484876,15298.106369799862,955993286.3804389,1101.0899592873564,663185.6980589316
2022-06-23 14:00:00+00:00,89463.51400418281,15298.022216329986,956187523.7039708,1101.0896592087356,663320.5099754963
2022-06-23 15:00:00+00:00,89426.19416551472,15298.190523269743,955799049.0569072,1101.090259365977,663050.886142367
2022-06-23 16:00:00+00:00,89351.55448817856,15298.527137149267,955022099.7627798,1101.0914596804598,662511.6384761087
2022-06-23 17:00:00+00:00,89295.57473017646,11088.163434494454,954439387.7921844,1043.5923599163218,922035.6397651078
2022-06-23 18:00:00+00:00,89192.94517383927,11088.498892026812,953371082.5127593,1043.5940103487355,921003.0914832863
2022-06-23 19:00:00+00:00,89099.64557716908,11088.803853419868,952399895.8951,1043.595510741839,920064.4112270852
2022-06-23 20:00:00+00:00,89034.33585949994,11089.017326395,951720065.2627386,1043.5965610170115,919407.3350477443
2022-06-23 21:00:00+00:00,89015.67594016591,12175.725149843407,951525827.9392067,1085.8968610956322,797681.4941556895
2022-06-23 22:00:00+00:00,89043.66581916697,26595.086302502088,951817183.9245045,869.4964109777011,631529.7305852397
2022-06-23 23:00:00+00:00,89127.63545617013,26594.428043346205,952691251.8803977,869.495060623908,632109.9626051552
2022-06-24 00:00:00+00:00,89183.61521417224,26593.98920390895,953273963.8509933,869.494160388046,632496.7839517656
2022-06-24 01:00:00+00:00,89258.25489150839,26593.404084659276,954050913.1451206,869.4929600735632,633012.5457472461
2022-06-24 02:00:00+00:00,89295.57473017646,26593.11152503444,954439387.7921844,869.4923599163218,633270.4266449863
2022-06-24 03:00:00+00:00,89314.2346495105,26592.96524522202,954633625.1157161,869.4920598377012,633399.3670938563
2022-06-24 04:00:00+00:00,89332.89456884452,26592.8189654096,954827862.439248,869.4917597590804,633528.3075427265
2022-06-24 05:00:00+00:00,89295.57473017646,26593.11152503444,954439387.7921844,869.4923599163218,633270.4266449863
2022-06-24 06:00:00+00:00,89258.25489150839,20149.927808594657,954050913.1451206,973.7429600735632,631095.8877414468
2022-06-24 07:00:00+00:00,89220.93505284032,20150.1494821834,953662438.4980569,973.7435602308045,630838.7876647036
2022-06-24 08:00:00+00:00,89286.24477050945,20149.761553403107,954342269.1304184,973.7425099556322,631288.7127990039
2022-06-24 09:00:00+00:00,89286.24477050945,15298.821674293848,954342269.1304184,1101.092509955632,662039.7967681326
2022-06-24 10:00:00+00:00,89342.22452851156,15298.56921388421,954924981.1010139,1101.09160971977,662444.2325178265
2022-06-24 11:00:00+00:00,89407.53424618067,15298.274676739622,955604811.7333753,1101.0905594445976,662916.0742258026
2022-06-24 12:00:00+00:00,89482.17392351684,15297.938062860103,956381761.0275028,1101.089359130115,663455.3218920608
2022-06-24 13:00:00+00:00,89500.83384285087,15297.85390939022,956575998.3510345,1101.0890590514941,663590.1338086253
2022-06-24 14:00:00+00:00,89556.81360085298,15297.601448980578,957158710.32163,1101.0881588156321,663994.5695583192
2022-06-24 15:00:00+00:00,89575.47352018702,15297.517295510695,957352947.6451619,1101.0878587370116,664129.3814748836
2022-06-24 16:00:00+00:00,89547.48364118594,15297.64352571552,957061591.6598641,1101.0883088549426,663927.1636000368
2022-06-24 17:00:00+00:00,89482.17392351684,11087.55351170835,956381761.0275028,1043.589359130115,923913.0002775103
